Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
0,20,0,0,1,542,0,0,3,3,5,3,4,3,5,2,5,5,5,3,5,1,0
1,33,1,0,0,802,14,4,1,1,4,4,1,4,4,5,4,4,5,1,4,4,1
1,45,0,0,1,468,0,8,3,1,4,1,4,3,1,3,1,1,4,1,1,3,0
0,51,1,0,0,134,0,0,5,5,5,4,5,5,5,5,3,4,5,5,5,4,1
1,53,1,1,1,446,0,0,4,2,5,2,4,3,1,4,1,1,5,4,1,5,1
1,22,0,0,1,542,22,16,0,3,1,3,1,4,2,2,2,2,2,3,2,4,0
0,44,1,1,2,366,1,0,5,5,2,3,2,4,2,5,4,5,4,5,4,2,1
1,48,1,0,0,2659,1,0,1,1,3,5,1,2,5,2,5,5,2,1,2,2,1
0,10,1,1,1,2338,1,0,4,3,5,3,3,3,5,2,5,5,5,3,5,4,0
0,39,0,0,0,137,25,12,1,1,5,1,2,3,3,4,4,4,5,1,4,4,0
0,13,1,1,1,479,2,0,5,2,4,2,3,2,3,3,3,3,1,3,3,3,0
0,22,1,0,0,3074,2,0,5,5,2,2,5,3,1,2,1,1,3,1,1,3,0
1,8,1,1,1,813,0,0,2,3,4,3,4,1,5,1,5,5,3,3,5,4,0
1,23,0,0,1,2454,3,24,3,3,3,2,1,5,3,4,3,3,3,3,5,4,0
1,42,1,0,0,2475,0,0,3,4,5,5,4,5,5,5,5,5,3,4,3,5,1
0,62,1,1,1,821,0,0,4,5,5,5,2,2,4,5,5,4,2,4,2,2,0
0,49,1,0,0,2493,0,0,3,3,5,5,3,4,4,4,3,3,4,3,4,4,1
1,25,0,0,0,277,0,0,4,3,2,3,4,1,1,4,3,3,4,2,3,3,0
0,26,1,1,1,248,15,11,4,3,3,3,3,4,3,3,2,2,5,3,2,5,0
0,29,1,0,0,2222,13,21,2,2,4,2,2,2,2,3,2,2,3,2,2,4,0
1,40,1,1,1,1620,0,0,4,3,5,3,3,3,3,5,3,3,5,3,3,4,0
1,22,1,1,1,594,2,0,4,4,4,4,3,4,2,2,2,2,4,4,2,4,0
1,46,1,0,2,472,0,0,3,3,5,4,3,1,4,4,4,4,2,4,4,2,1
1,34,1,1,1,237,0,0,3,0,5,0,2,2,1,4,1,1,3,1,1,4,0
0,50,0,0,0,480,20,2,5,5,4,5,4,4,1,4,1,1,4,5,1,5,1
1,34,1,1,2,372,5,0,2,2,3,2,3,1,1,1,5,5,3,2,5,3,0
0,37,1,0,1,429,0,0,4,4,1,2,4,2,2,4,2,2,3,2,2,4,0
0,34,0,0,1,399,0,0,5,3,2,3,3,5,3,5,3,3,4,3,3,3,0
1,28,1,1,1,840,0,0,5,1,3,1,4,5,2,2,2,2,4,1,2,5,0
1,56,1,0,0,3080,0,0,5,5,3,4,5,4,4,4,5,4,4,5,4,4,1
0,52,1,0,0,697,0,0,4,5,4,2,4,3,4,3,1,1,3,4,3,3,1
1,55,1,0,0,2067,0,0,4,4,3,4,4,5,4,4,3,2,5,4,5,5,1
0,18,0,0,1,529,0,0,3,3,2,3,4,1,1,5,5,5,3,3,5,4,0
0,48,1,1,2,507,6,7,5,2,4,4,5,5,4,2,4,3,5,2,5,5,0
0,39,1,0,2,337,0,0,1,1,1,3,1,4,3,1,3,3,3,3,3,3,0
1,26,0,0,0,361,0,0,3,3,3,3,1,4,1,3,3,3,2,3,3,4,0
0,48,1,0,0,401,0,0,1,1,3,4,1,2,5,2,4,2,2,1,2,2,1
1,36,1,0,0,2934,4,7,4,4,5,5,4,5,5,5,4,5,5,4,5,5,1
1,42,1,0,0,2352,0,6,5,5,1,4,5,3,4,2,4,1,3,2,3,2,0
1,22,0,0,1,2295,3,0,4,4,4,4,4,3,3,2,3,3,4,4,3,3,0
1,8,0,0,0,767,0,0,0,2,4,2,3,3,2,5,2,2,4,2,2,4,0
0,59,1,0,0,1426,41,28,2,2,3,4,2,5,4,5,3,5,5,2,5,5,1
1,38,1,1,1,744,0,14,3,1,5,1,4,5,1,3,1,1,3,1,1,3,0
